[1, 1, 2, 2, 0, 0, 0, 0, 0] ; 5 ;good
[0, 0, 0, 1, 2, 2, 2, 1, 1] ; 1 ;bad
[0, 0, 0, 1, 2, 2, 2, 1, 1] ; 0 ;bad
[0, 0, 0, 1, 2, 2, 2, 1, 1] ; 2 ;good
[0, 0, 0, 2, 1, 2, 2, 1, 1] ; 2 ;bad
[0, 0, 0, 2, 1, 2, 2, 1, 1] ; 0 ;good
[0, 0, 0, 2, 1, 2, 2, 1, 1] ; 1 ;good
[0, 0, 0, 1, 1, 2, 2, 1, 2] ; 2 ;bad
[0, 0, 0, 1, 1, 2, 2, 1, 2] ; 0 ;bad
[0, 0, 0, 1, 1, 2, 2, 1, 2] ; 1 ;good
[0, 0, 0, 2, 1, 1, 2, 1, 2] ; 2 ;bad
[0, 0, 0, 2, 1, 1, 2, 1, 2] ; 0 ;bad
[0, 0, 0, 2, 1, 1, 2, 1, 2] ; 1 ;good
[0, 0, 0, 0, 1, 0, 2, 1, 2] ; 1 ;good
[0, 0, 0, 0, 1, 0, 2, 1, 2] ; 0 ;bad
[0, 0, 0, 0, 1, 0, 2, 1, 2] ; 2 ;bad
[0, 0, 0, 0, 1, 0, 2, 1, 2] ; 3 ;bad
[0, 0, 0, 0, 1, 0, 2, 1, 2] ; 5 ;bad
[0, 0, 0, 0, 2, 0, 2, 1, 1] ; 5 ;bad
[0, 0, 0, 0, 2, 0, 2, 1, 1] ; 3 ;bad
[0, 0, 0, 0, 2, 0, 2, 1, 1] ; 2 ;good
[0, 0, 0, 0, 2, 0, 2, 1, 1] ; 0 ;bad
[0, 0, 0, 0, 2, 0, 2, 1, 1] ; 1 ;bad
[0, 0, 0, 0, 2, 1, 2, 1, 0] ; 8 ;bad
[0, 0, 0, 0, 2, 1, 2, 1, 0] ; 3 ;bad
[0, 0, 0, 0, 2, 1, 2, 1, 0] ; 2 ;good
[0, 0, 0, 0, 2, 1, 2, 1, 0] ; 0 ;bad
[0, 0, 0, 0, 2, 1, 2, 1, 0] ; 1 ;bad
[0, 0, 0, 0, 1, 2, 2, 1, 0] ; 8 ;bad
[0, 0, 0, 0, 1, 2, 2, 1, 0] ; 3 ;bad
[0, 0, 0, 0, 1, 2, 2, 1, 0] ; 2 ;bad
[0, 0, 0, 0, 1, 2, 2, 1, 0] ; 0 ;bad
[0, 0, 0, 0, 1, 2, 2, 1, 0] ; 1 ;good
[0, 0, 0, 1, 2, 0, 2, 1, 0] ; 8 ;bad
[0, 0, 0, 1, 2, 0, 2, 1, 0] ; 2 ;good
[0, 0, 0, 1, 2, 0, 2, 1, 0] ; 0 ;bad
[0, 0, 0, 1, 2, 0, 2, 1, 0] ; 5 ;bad
[0, 0, 0, 1, 2, 0, 2, 1, 0] ; 1 ;bad
[0, 0, 0, 2, 1, 0, 2, 1, 0] ; 8 ;bad
[0, 0, 0, 2, 1, 0, 2, 1, 0] ; 2 ;bad
[0, 0, 0, 2, 1, 0, 2, 1, 0] ; 0 ;bad
[0, 0, 0, 2, 1, 0, 2, 1, 0] ; 5 ;bad
[0, 0, 0, 2, 1, 0, 2, 1, 0] ; 1 ;good
[0, 0, 0, 2, 0, 1, 2, 1, 0] ; 8 ;bad
[0, 0, 0, 2, 0, 1, 2, 1, 0] ; 2 ;bad
[0, 0, 0, 2, 0, 1, 2, 1, 0] ; 0 ;good
[0, 0, 0, 2, 0, 1, 2, 1, 0] ; 1 ;bad
[0, 0, 0, 2, 0, 1, 2, 1, 0] ; 4 ;bad
[0, 0, 0, 1, 0, 2, 2, 1, 0] ; 8 ;good
[0, 0, 0, 1, 0, 2, 2, 1, 0] ; 2 ;good
[0, 0, 0, 1, 0, 2, 2, 1, 0] ; 0 ;good
[0, 0, 0, 1, 0, 2, 2, 1, 0] ; 1 ;good
[0, 0, 0, 1, 0, 2, 2, 1, 0] ; 4 ;good
[0, 0, 0, 0, 0, 1, 2, 1, 2] ; 3 ;good
[0, 0, 0, 0, 0, 1, 2, 1, 2] ; 2 ;good
[0, 0, 0, 0, 0, 1, 2, 1, 2] ; 0 ;good
[0, 0, 0, 0, 0, 1, 2, 1, 2] ; 1 ;good
[0, 0, 0, 0, 0, 1, 2, 1, 2] ; 4 ;good
[0, 0, 0, 0, 0, 2, 2, 1, 1] ; 3 ;good
[0, 0, 0, 0, 0, 2, 2, 1, 1] ; 2 ;good
[0, 0, 0, 0, 0, 2, 2, 1, 1] ; 0 ;good
[0, 0, 0, 0, 0, 2, 2, 1, 1] ; 1 ;good
[0, 0, 0, 0, 0, 2, 2, 1, 1] ; 4 ;good
[0, 0, 0, 1, 2, 1, 2, 1, 2] ; 0 ;bad
[0, 0, 0, 1, 2, 1, 2, 1, 2] ; 2 ;bad
[0, 0, 0, 2, 2, 1, 2, 1, 1] ; 0 ;bad
[0, 0, 0, 2, 2, 1, 2, 1, 1] ; 2 ;good
[0, 0, 0, 1, 2, 1, 2, 1, 2] ; 1 ;bad
[0, 0, 0, 2, 2, 1, 2, 1, 1] ; 1 ;bad
[0, 0, 0, 1, 0, 0, 2, 1, 2] ; 1 ;good
[0, 0, 0, 1, 0, 0, 2, 1, 2] ; 0 ;good
[0, 0, 0, 1, 0, 0, 2, 1, 2] ; 2 ;good
[0, 0, 0, 1, 0, 0, 2, 1, 2] ; 5 ;good
[0, 0, 0, 1, 0, 0, 2, 1, 2] ; 4 ;good
[0, 0, 0, 2, 0, 0, 2, 1, 1] ; 5 ;bad
[0, 0, 0, 2, 0, 0, 2, 1, 1] ; 4 ;bad
